Model,girders,span,numberofdiaphragms,girderspacing,maxXreaction,minendmoment,width,maxendmoment,Y,mindeflection,minXreaction,numberofgirders,maxmoment
TX_24_45_R06,"[33, 118]",45,3,7.3333,19886.88948726284,-739290.9414264718,24,705894.7282524374,43.0,-0.18925092791266515,-19886.889487216245,4,3330490.580995036
TX_24_45_R07,"[36, 135]",45,3,7.3333,20372.760032738763,-787424.3490587061,24,723716.3903943003,45.62,-0.1555538729644787,-20372.760032640977,4,3347446.3458214225
TX_24_45_R08,"[40, 149]",45,3,7.3333,20662.056662713156,-812888.4595731684,24,784743.2037576329,48.25,-0.13868553793490843,-20662.05666270438,4,3371028.1463851593
TX_24_50_P01,"[1, 12, 1.25, 12, 0.5, 17]",50,4,7.3333,19282.53234328752,-449707.93608528614,24,416164.22620574664,29.25,-0.5187011206829968,-19282.53234330762,4,3629644.9815715374
TX_24_50_P02,"[0.75, 12, 1.25, 12, 0.5, 19.5]",50,3,7.3333,20123.232141350283,-520469.1551631146,24,487195.52872526273,31.5,-0.4436052661408638,-20123.232141398497,4,3698590.836272431
TX_24_50_P03,"[0.75, 12, 0.875, 12, 0.5, 22.5]",50,3,7.3333,18641.932103128973,-540314.6556621743,24,512233.3708538899,34.12,-0.44090757613137244,-18641.93210318339,4,3712811.8652271084
TX_24_50_P04,"[0.75, 14, 1, 14, 0.5, 25.5]",50,3,7.3333,19871.617043239392,-616646.0446597039,24,541703.1198936444,37.25,-0.3171252393740457,-19871.61704326598,4,3790029.5161648043
TX_24_50_P05,"[1, 15, 1.25, 15, 0.5, 28.5]",50,3,7.3333,20854.66484834226,-641606.1276882824,24,634069.2725389934,40.75,-0.2258014003183023,-20854.66484837629,4,3873729.8387369597
TX_24_50_P06,"[0.75, 12, 0.75, 12, 0.5, 31.5]",50,3,7.3333,17663.81096836065,-660002.1256527653,24,630806.4287416758,43.0,-0.28207888280964033,-17663.81096837867,4,3851546.154758807
TX_24_50_P07,"[0.75, 12, 0.875, 12, 0.5, 34]",50,3,7.3333,17907.497133911853,-707826.8572162607,24,675817.513894237,45.62,-0.23138653207822302,-17907.497133936668,4,3893733.5881176693
TX_24_50_P08,"[0.75, 12, 1, 12, 0.5, 36.5]",50,3,7.3333,17913.250441333712,-746964.0696030641,24,683873.7118635159,48.25,-0.19266119010107188,-17913.250441365155,4,3914930.336619607
TX_24_50_R01,"[18, 130]",50,4,7.3333,21581.545062839126,-521703.3823044803,24,415876.3405713201,29.25,-0.46553350054949166,-21581.545062789657,4,3633044.8452611435
TX_24_50_R02,"[21, 122]",50,3,7.3333,21759.95343083461,-571087.7285125221,24,533062.999160197,31.5,-0.4418678623643833,-21759.953430709855,4,3699810.0657617226
TX_24_50_R03,"[24, 104]",50,3,7.3333,19924.581522142245,-580340.177561833,24,550573.3582515253,34.12,-0.44068768713866635,-19924.581521977558,4,3716549.737168125
TX_24_50_R04,"[27, 146]",50,3,7.3333,22940.067222145455,-700268.9564380826,24,624413.759009797,37.25,-0.2884756094834023,-22940.06722205591,4,3814539.2551409933
TX_24_50_R05,"[30, 173]",50,3,7.3333,23771.337278919502,-721070.4854479205,24,712480.7016762072,40.75,-0.21433024597006367,-23771.33727896744,4,3879305.65531655
TX_24_50_R06,"[33, 118]",50,3,7.3333,19692.659013228484,-732061.5049230607,24,698983.8416243253,43.0,-0.26856537960436,-19692.659013034503,4,3864479.019632505
TX_24_50_R07,"[36, 135]",50,3,7.3333,20452.17793466967,-790479.8999522773,24,726507.8390825262,45.62,-0.22120238255688138,-20452.177934453186,4,3890969.9632759294
TX_24_50_R08,"[40, 149]",50,3,7.3333,20900.71233189476,-822260.3686823853,24,793782.8140810789,48.25,-0.19744435017694467,-20900.712332004325,4,3923444.2207976216
TX_24_55_P01,"[1, 12, 1.375, 12, 0.5, 19.8]",55,4,7.3333,16722.906256029528,-429918.09421865415,24,370101.780928796,32.12,-0.5458965954342787,-16722.906255957023,4,4175449.481619192
TX_24_55_P02,"[0.75, 12, 0.875, 12, 0.5, 22.5]",55,4,7.3333,14627.017205192038,-423937.1461411081,24,401888.99866106355,34.12,-0.5918786978455328,-14627.017205038315,4,4184866.2362695783
TX_24_55_P03,"[0.75, 14, 1, 14, 0.5, 25.5]",55,4,7.3333,15943.85306013199,-494741.8183110139,24,434575.4138271933,37.25,-0.4268477098540879,-15943.853060052013,4,4288933.089785975
TX_24_55_P04,"[1, 15, 1.25, 15, 0.5, 28.5]",55,4,7.3333,17235.981958353204,-530220.6659692072,24,523988.1843239979,40.75,-0.30433682145298147,-17235.98195823218,4,4399728.817981154
TX_24_55_P05,"[0.75, 12, 0.75, 12, 0.5, 31.5]",55,4,7.3333,14023.50523662826,-523969.81705078477,24,500775.99022623675,43.0,-0.3803103081099327,-14023.505236591447,4,4365284.129198287
TX_24_55_P06,"[0.75, 12, 0.875, 12, 0.5, 34]",55,4,7.3333,14396.8156949055,-569043.747687356,24,543293.9452637794,45.62,-0.3122406595754861,-14396.815694828982,4,4422051.471970521
TX_24_55_P07,"[0.75, 12, 1, 12, 0.5, 36.5]",55,4,7.3333,14547.12099808049,-606579.995322085,24,555314.9186647286,48.25,-0.26008521642280485,-14547.120998036313,4,4453023.6251578275
TX_24_55_R01,"[21, 147]",55,4,7.3333,19045.226049665966,-495988.2279278198,24,416736.42905690375,32.12,-0.4971644759073924,-19045.22604937993,4,4201823.018363732
TX_24_55_R02,"[24, 117]",55,4,7.3333,16680.796273686803,-478926.91289600893,24,450975.7115129021,34.12,-0.5435910904481768,-16680.79627339631,4,4218577.934964886
TX_24_55_R03,"[27, 146]",55,4,7.3333,18682.017107749016,-570254.9609038207,24,508446.71133954445,37.25,-0.39153740268737586,-18682.01710748001,4,4318400.347229138
TX_24_55_R04,"[30, 173]",55,4,7.3333,19814.090180848536,-600965.2056382529,24,593801.8529385846,40.75,-0.29190620241782167,-19814.090180684725,4,4405482.067805708
TX_24_55_R05,"[33, 118]",55,4,7.3333,15662.705221207092,-582233.4149037706,24,555909.4965472306,43.0,-0.36494943569767657,-15662.705221094307,4,4379945.243610494
TX_24_55_R06,"[36, 135]",55,4,7.3333,16580.036671523554,-640796.6876356365,24,588908.2564970133,45.62,-0.30126550094184296,-16580.036671306767,4,4417979.012464383
TX_24_55_R07,"[40, 149]",55,4,7.3333,17131.01712353288,-673927.8179493521,24,650574.6983356167,48.25,-0.2692504644216425,-17131.017122792415,4,4460166.00329898
TX_24_60_P01,"[1, 12, 1.625, 12, 0.5, 19.8]",60,4,7.3333,16080.748277940997,-409537.24214865844,24,357876.73833542154,32.38,-0.64514407372194,-16080.748278124784,4,4681133.912785456
TX_24_60_P02,"[1, 12, 1.375, 12, 0.5, 22.5]",60,4,7.3333,15524.543435255397,-438456.6761123257,24,384607.20864006475,34.88,-0.5967253232812829,-15524.543435335818,4,4731150.10422582
TX_24_60_P03,"[0.75, 14, 1, 14, 0.5, 25.5]",60,4,7.3333,14776.724404162836,-458515.4534928309,24,402734.2628778283,37.25,-0.5566541634788339,-14776.724404248325,4,4772803.142264024
TX_24_60_P04,"[1, 15, 1.25, 15, 0.5, 28.5]",60,4,7.3333,16398.77061430481,-504436.1811925249,24,498504.5507019461,40.75,-0.3975862616355535,-16398.770614403227,4,4913872.283682413
TX_24_60_P05,"[0.75, 12, 0.75, 12, 0.5, 31.5]",60,4,7.3333,13016.15506623816,-486324.8404973039,24,464789.31915910606,43.0,-0.49672241894662067,-13016.15506640448,4,4865083.141834628
TX_24_60_P06,"[0.75, 12, 0.875, 12, 0.5, 34]",60,4,7.3333,13551.078543911022,-535606.948697076,24,511361.6470320622,45.62,-0.40826309099075436,-13551.078543994756,4,4938316.110699693
TX_24_60_P07,"[0.75, 12, 1, 12, 0.5, 36.5]",60,4,7.3333,13860.999252221836,-577960.2586417684,24,529097.4062242027,48.25,-0.3402790171200347,-13860.999252295454,4,4980634.294107181
TX_24_60_R01,"[21, 166]",60,4,7.3333,18734.98551090731,-421391.38321489026,24,413194.5577063893,32.38,-0.5774534958695775,-18734.985510641545,4,4717533.959624911
TX_24_60_R02,"[24, 146]",60,4,7.3333,17292.389153906603,-491840.9238360451,24,423583.82281715516,34.88,-0.5716556222394552,-17292.38915393185,4,4742217.838450656
TX_24_60_R03,"[27, 146]",60,4,7.3333,17244.544759677672,-526358.2457739266,24,469286.67733588844,37.25,-0.5138365327985642,-17244.544759665037,4,4807460.072496247
TX_24_60_R04,"[30, 173]",60,4,7.3333,18672.43618678999,-566297.9823129787,24,559545.2587937681,40.75,-0.3843260994293011,-18672.43618568848,4,4919338.533927092
TX_24_60_R05,"[33, 118]",60,4,7.3333,14403.15759242454,-535402.2575857274,24,511186.5604250098,43.0,-0.47945710229179145,-14403.157592621701,4,4881190.137762749
TX_24_60_R06,"[36, 135]",60,4,7.3333,15461.108998919171,-597537.5272988274,24,549134.6810444717,45.62,-0.39661821026162297,-15461.108999059128,4,4932501.056334705
TX_24_60_R07,"[40, 149]",60,4,7.3333,16098.780065526053,-633303.4047751982,24,611350.4280911757,48.25,-0.3548772995680451,-16098.780064665345,4,4985188.345172588
TX_24_65_P01,"[1.25, 12, 1.625, 12, 0.5, 22.5]",65,4,7.3333,15207.304082704048,-421875.6917545805,24,380532.9570603657,35.38,-0.6792711777976033,-15207.304082788849,4,5250182.381050129
TX_24_65_P02,"[0.75, 14, 1, 14, 0.5, 25.5]",65,4,7.3333,13404.115988052932,-415913.28248644184,24,365293.7337930039,37.25,-0.7073803445370028,-13404.115988116435,4,5240296.959383151
TX_24_65_P03,"[1, 15, 1.25, 15, 0.5, 28.5]",65,4,7.3333,15283.614491429973,-470103.61706250644,24,464573.4942005044,40.75,-0.506346351222771,-15283.614491517797,4,5414389.403592877
TX_24_65_P04,"[0.75, 12, 0.75, 12, 0.5, 31.5]",65,4,7.3333,11829.459656305658,-441978.8920491364,24,422398.5884526013,43.0,-0.6321622182451371,-11829.45965628784,4,5349238.328887263
TX_24_65_P05,"[0.75, 12, 0.875, 12, 0.5, 34]",65,4,7.3333,12496.47868414522,-493914.8253846115,24,471547.91058974003,45.62,-0.5202730054181962,-12496.478684143603,4,5440632.099383428
TX_24_65_P06,"[0.75, 12, 1, 12, 0.5, 36.5]",65,4,7.3333,12943.344910913867,-539686.3567347848,24,494042.31684976956,48.25,-0.43402153863702214,-12943.34491085204,4,5495956.816673791
TX_24_65_R01,"[24, 176]",65,4,7.3333,17529.046660779153,-439612.6916490205,24,432238.65415087435,35.38,-0.613740604751605,-17529.04666075576,4,5286088.8227054775
TX_24_65_R02,"[27, 146]",65,4,7.3333,15576.672817944698,-475430.23997229553,24,423858.8982126256,37.25,-0.6562742876469633,-15576.672817642066,4,5280188.73115636
TX_24_65_R03,"[30, 173]",65,4,7.3333,17231.39308217828,-522553.7973303757,24,516320.1171795003,40.75,-0.49245383925800446,-17231.393081612878,4,5419210.357874991
TX_24_65_R04,"[33, 118]",65,4,7.3333,12965.247313868233,-481941.4873574416,24,460134.20325422083,43.0,-0.6129985567036476,-12965.247313725615,4,5366543.7507572975
TX_24_65_R05,"[36, 135]",65,4,7.3333,14121.537205572615,-545751.7109615428,24,501525.80467275175,45.62,-0.5081465313409924,-14121.537205470111,4,5432806.177142626
TX_24_65_R06,"[40, 149]",65,4,7.3333,14820.895368773645,-583016.3454385916,24,562798.7317076921,48.25,-0.45519121671159113,-14820.895368735557,4,5496837.538842381
TX_24_70_P01,"[1.5, 12, 1.875, 12, 0.5, 22.5]",70,4,7.3333,14698.783613897136,-378113.7095522494,24,371462.70853333897,35.88,-0.7663419633695503,-14698.783614115284,4,5762957.121731858
TX_24_70_P02,"[0.75, 14, 1.375, 14, 0.5, 25.5]",70,4,7.3333,13331.576632330518,-406912.163784875,24,365784.50341997173,37.62,-0.741505662927641,-13331.090278650285,4,5800192.384885851
TX_24_70_P03,"[1, 15, 1.25, 15, 0.5, 28.5]",70,4,7.3333,13989.646455486536,-430273.47492413054,24,425209.72256686055,40.75,-0.6313563211796455,-13989.646455564165,4,5901239.14261749
TX_24_70_P04,"[0.75, 12, 1, 12, 0.5, 31.5]",70,4,7.3333,11447.060938879156,-424819.35615706176,24,404180.0584128927,43.25,-0.689004508517265,-11447.060939360606,4,5890451.666972299
TX_24_70_P05,"[0.75, 12, 0.875, 12, 0.5, 34]",70,4,7.3333,11312.321878343511,-447102.62148333644,24,426846.65987134835,45.62,-0.6490250472936974,-11312.321878796723,4,5929011.149282894
TX_24_70_P06,"[0.75, 12, 1, 12, 0.5, 36.5]",70,4,7.3333,11872.069318535687,-495007.69044054754,24,453125.3997542422,48.25,-0.5420110551936841,-11872.069318734753,4,5998841.453287337
TX_24_70_R01,"[24, 207]",70,4,7.3333,17491.640659461125,-441392.3738814559,24,434088.7876834217,35.88,-0.6599933399691664,-17491.640660453853,4,5822926.602192956
TX_24_70_R02,"[27, 178]",70,4,7.3333,15871.657819506274,-439137.48436070327,24,433026.7122146531,37.62,-0.694443737065036,-15871.657819074713,4,5830047.768236641
TX_24_70_R03,"[30, 173]",70,4,7.3333,15612.171691994085,-473410.23434545554,24,467760.2591832193,40.75,-0.6170242719380779,-15612.171691003401,4,5905081.726694616
TX_24_70_R04,"[33, 130]",70,4,7.3333,12372.428866509137,-458097.9161368235,24,409206.4298226925,43.25,-0.6974224153113686,-12372.428865859918,4,5855275.001234338
TX_24_70_R05,"[36, 135]",70,4,7.3333,12657.485613946314,-489156.61500155047,24,449499.090636691,45.62,-0.6366011922687944,-12657.485614352678,4,5918918.15835454
TX_24_70_R06,"[40, 149]",70,4,7.3333,13395.977828065741,-526947.0280144701,24,508666.0132142223,48.25,-0.570911945445904,-13395.977828059999,4,5995052.368587953
TX_24_75_P01,"[1, 14, 1.5, 14, 0.5, 25.8]",75,4,7.3333,12726.879970300404,-360260.23525593424,24,355322.207661033,38.25,-0.8396921622585788,-12726.879970487433,4,6309738.804838062
TX_24_75_P02,"[1, 15, 1.25, 15, 0.5, 28.5]",75,4,7.3333,12601.840809848287,-387560.50964762224,24,382997.3066818819,40.75,-0.7732814280314202,-12601.840809908357,4,6374520.940960705
TX_24_75_P03,"[0.75, 12, 1.25, 12, 0.5, 31.5]",75,4,7.3333,10949.886975433381,-403617.1027888136,24,365652.2714771491,43.5,-0.75454157610976,-10949.886975751544,4,6401049.707940361
TX_24_75_P04,"[0.75, 12, 0.875, 12, 0.5, 34]",75,4,7.3333,10067.354142114444,-397887.93069252477,24,379852.8207280185,45.62,-0.7951970562718618,-10067.354142420361,4,6403592.6071436675
TX_24_75_P05,"[0.75, 12, 1, 12, 0.5, 36.5]",75,4,7.3333,10716.092015896684,-446798.45733483165,24,408978.5270336348,48.25,-0.6648812210383626,-10716.092016162773,4,6489246.704536641
TX_24_75_R01,"[27, 194]",75,4,7.3333,15073.314834012981,-419069.93030524516,24,413223.2828601011,38.25,-0.7674028795299451,-15073.31483440684,4,6347391.66610754
TX_24_75_R02,"[30, 173]",75,4,7.3333,13914.00092004913,-421877.7971707424,24,416840.3640211438,40.75,-0.7586982740571099,-13914.000917968315,4,6377087.722438021
TX_24_75_R03,"[33, 141]",75,4,7.3333,11610.206223243415,-428903.7199417487,24,384686.05061112467,43.5,-0.7909233679511776,-11610.20622326813,4,6365993.522657096
TX_24_75_R04,"[36, 150]",75,4,7.3333,12181.271936714667,-465352.2371813254,24,433962.56898125506,45.62,-0.7129764454001694,-12181.271934542297,4,6448527.523997624
TX_24_75_R05,"[40, 149]",75,4,7.3333,11906.490165458814,-468339.95484644757,24,452084.58627133805,48.25,-0.7026894612368008,-11906.49016531906,4,6479894.021926797
TX_24_80_P01,"[1.25, 14, 1.75, 14, 0.5, 25.8]",80,5,7.3333,10396.95924112885,-296867.73475885263,24,292830.9795774719,38.75,-0.9140599358191605,-10396.959241007005,4,6831363.57404432
TX_24_80_P02,"[1, 15, 1.5, 15, 0.5, 28.5]",80,5,7.3333,10043.36539559135,-310090.87608648214,24,306451.4895400975,41.0,-0.8435563380737181,-10043.365395562414,4,6902677.339953259
TX_24_80_P03,"[1, 12, 1.25, 12, 0.5, 31.5]",80,5,7.3333,8240.190867730844,-301648.0921476262,24,276150.8636295118,43.75,-0.8987469915359916,-8240.190867759906,4,6872009.187605177
TX_24_80_P04,"[0.75, 12, 1.125, 12, 0.5, 34]",80,5,7.3333,7916.460204968381,-310877.97865769756,24,283196.7254649544,45.87,-0.8516639349824129,-7916.4602048879315,4,6918462.430268792
TX_24_80_P05,"[0.75, 12, 1, 12, 0.5, 36.5]",80,5,7.3333,7823.828071162328,-326189.27206515335,24,298549.61392086337,48.25,-0.8030440961743968,-7823.828070943164,4,6965822.184574431
TX_24_80_R01,"[27, 235]",80,5,7.3333,13081.88666240008,-365896.2420651686,24,360890.8918490502,38.75,-0.7851968845343261,-13081.88666142652,4,6905900.449970284
TX_24_80_R02,"[30, 211]",80,5,7.3333,12082.598242395721,-367897.69809490937,24,363549.89006632345,41.0,-0.7814092462452581,-12082.598242254664,4,6940895.353733261
TX_24_80_R03,"[33, 169]",80,5,7.3333,9756.597280723308,-329321.93474853114,24,324710.81439431064,43.75,-0.8202265684837157,-9756.597280243428,4,6927164.064613417
TX_24_80_R04,"[36, 150]",80,5,7.3333,8818.347816822732,-339056.36026188335,24,314107.56216894364,45.87,-0.853175753922804,-8818.347815447283,4,6921366.98983865
TX_24_80_R05,"[40, 149]",80,5,7.3333,8588.528363990146,-337801.52444662724,24,326064.43974150176,48.25,-0.8509344649769884,-8588.52836276406,4,6951695.657922893
TX_24_85_P01,"[1, 15, 1.75, 15, 0.5, 28.5]",85,5,7.3333,9421.330735638923,-292043.02232757746,24,288627.7745076405,41.25,-0.9211218672455485,-9421.330735770993,4,7422513.061870758
TX_24_85_P02,"[0.75, 16, 1.25, 16, 0.5, 31.5]",85,5,7.3333,7792.923661129719,-276806.7537704622,24,258444.16347023047,43.5,-0.9369009221823122,-7792.923661121729,4,7425569.558910497
TX_24_85_P03,"[0.875, 12, 1.25, 12, 0.5, 34]",85,5,7.3333,7304.726167121653,-285011.8071890854,24,262207.03446689097,46.12,-0.9568147764820669,-7304.726167065057,4,7421824.120312946
TX_24_85_P04,"[1, 12, 1.5, 12, 0.5, 36.5]",85,5,7.3333,8209.805806660275,-320072.52455001057,24,316352.5455908501,49.0,-0.7734970754353817,-8209.805806740636,4,7582051.268583169
TX_24_85_R01,"[30, 235]",85,5,7.3333,11572.269750176089,-354271.9888752373,24,350106.41291611234,41.25,-0.8484195311010059,-11572.269749825999,4,7464649.042695261
TX_24_85_R02,"[33, 201]",85,5,7.3333,9492.668602469199,-316701.83282457164,24,313414.29665228445,43.5,-0.8718310886900205,-9492.66860139526,4,7476050.954601728
TX_24_85_R03,"[36, 170]",85,5,7.3333,8503.465591378337,-307260.5666650517,24,303407.219468295,46.12,-0.9135156182602429,-8503.465589367968,4,7456876.875713799
TX_24_85_R04,"[40, 183]",85,5,7.3333,9049.486657392237,-351331.78767668735,24,347162.36270786996,49.0,-0.8158693837154191,-9049.486658032014,4,7563416.97811748
TX_24_90_P01,"[1.25, 15, 1.875, 15, 0.5, 28.5]",90,5,7.3333,8817.77774845377,-274970.03055362334,24,271772.5290083681,41.62,-1.0290920963681935,-8817.77774851913,4,7921430.355442608
TX_24_90_P02,"[1.25, 16, 1.375, 16, 0.5, 31.5]",90,5,7.3333,7666.934943893896,-259256.1115269722,24,256648.94388518357,44.12,-1.021127901140686,-7666.934943830285,4,7947943.243918752
TX_24_90_P03,"[1.125, 16, 1.5, 16, 0.5, 33.5]",90,5,7.3333,8026.825007625139,-287240.58996478934,24,284511.6817145898,46.12,-0.8926958753992469,-8026.825007587131,4,8061849.9437528895
TX_24_90_P04,"[0.875, 16, 1.25, 16, 0.5, 36.5]",90,5,7.3333,7372.957723274532,-283767.6960837257,24,281260.850042869,48.62,-0.8728444326008103,-7372.957723428642,4,8091428.211208907
TX_24_90_R01,"[30, 261]",90,5,7.3333,11068.146678137055,-339390.989083657,24,335432.0672795913,41.62,-0.9142219371960583,-11068.146675605207,4,7987607.640582893
TX_24_90_R02,"[33, 221]",90,5,7.3333,8953.96212351225,-298770.80064377794,24,295688.47198997386,44.12,-0.9343660127999072,-8953.962122797344,4,8003564.361212513
TX_24_90_R03,"[36, 231]",90,5,7.3333,9417.946828850936,-338201.75524341175,24,335097.8215643401,46.12,-0.8495839499355176,-9417.94682717061,4,8102449.519136898
TX_24_90_R04,"[40, 199]",90,5,7.3333,8157.384226313576,-313188.17064254446,24,310379.8285032133,48.62,-0.9164634558169754,-8157.384226270853,4,8080548.472787777
