Edition	Footnote	Type	Designation							A 	d	tw	tw/2	bf	tf	T	k	k1	W	bf/2tf	h/tw	Fy'''	X1	X2x106	Ix	Zx	Sx	rx	y	yp	Iy	Zy	Sy	ry	x	xp	rz	maxf	Grip	eo	Qs36	Qs50	Qs36c	Qs50c	Qs36s	Qs50s	Astem	tan(a)	twstem	twstem/2	OD	ID	twall	J	t	Iy'	Sy'	ry'	sched	Anet36	d1A36	IxA36	SxA36	rxA36	y1A36	ryA36	AnetASTM	d1ASTM	IxASTM	SxASTM	rxASTM	y1ASTM	ryASTM	d/t	ry0	ry1_4	ry3_8	ry1_2	ry5_8	ry3_4	d/Af	rT	Fy''	Cw	Fy'	Cc50'	Cc36'	a	Wno	Sw	Qf	Qw	B	Ht / t	Ht	tnom	tdes	b / t	C	ro	H	ddet	bfdet	twdet	tfdet	kdes	kdet	B/t	Sz	Qs
LRFD2		MC	MC7x19.1							5.61	7	0.352		3.452	0.5		1.125		19.1	0	0	0	0	0	43.2	14.3	12.3	2.77	0	0	6.11	4.34	2.57	1.04	1.08	0.567	0			1.15											0	0		0.41	0																			0										49.4					0	0	0	0	0	0	0	0	0	0	0	3.71	0.638									
LRFD2		MC	MC6x18							5.29	6	0.379		3.504	0.475		1.0625		18	0	0	0	0	0	29.7	11.5	9.91	2.37	0	0	5.93	4.14	2.48	1.06	1.12	0.622	0			1.17											0	0		0.38	0																			0										34.6					0	0	0	0	0	0	0	0	0	0	0	3.46	0.562									
LRFD2		MC	MC6x16.3							4.79	6	0.375		3	0.475		1.0625		16.3	0	0	0	0	0	26	10.2	8.68	2.33	0	0	3.82	3.18	1.84	0.892	0.927	0.464	0			0.93											0	0		0.34	0																			0										22.1					0	0	0	0	0	0	0	0	0	0	0	3.11	0.643									
LRFD2		MC	MC6x15.1							4.44	6	0.316		2.941	0.475		1.0625		15.1	0	0	0	0	0	25	9.69	8.32	2.37	0	0	3.51	3	1.75	0.889	0.94	0.537	0			0.982											0	0		0.29	0																			0										20.6					0	0	0	0	0	0	0	0	0	0	0	3.18	0.634									
LRFD2		MC	MC6x12							3.53	6	0.31		2.497	0.375		0.8125		12	0	0	0	0	0	18.7	7.38	6.24	2.3	0	0	1.87	1.79	1.04	0.728	0.704	0.292	0			0.725											0	0		0.15	0																			0										11.2					0	0	0	0	0	0	0	0	0	0	0	2.8	0.74									
LRFD2		L	L8x8x1-1/8							16.7	8	0		0	0		0		56.9	0	0	0	0	0	98	31.6	17.5	2.42	2.41	1.05	98	31.6	17.5	2.42	2.41	1.05	1.56			0											0	0		7.13	1.125																			0										32.5					0	0	0	0	8	0	0	0	0	0	0	4.31	0.632									
LRFD2		L	L8x8x1							15	8	0		0	0		0		51	0	0	0	0	0	89	28.5	15.8	2.44	2.37	0.938	89	28.5	15.8	2.44	2.37	0.938	1.56			0											0	0		5.08	1																			0										23.4					0	0	0	0	8	0	0	0	0	0	0	4.35	0.63									
LRFD2		L	L8x8x7/8							13.2	8	0		0	0		0		45	0	0	0	0	0	79.6	25.3	14	2.45	2.33	0.827	79.6	25.3	14	2.45	2.33	0.827	1.57			0											0	0		3.46	0.875																			0										16.1					0	0	0	0	8	0	0	0	0	0	0	4.37	0.629									
LRFD2		L	L8x8x3/4							11.4	8	0		0	0		0		38.9	0	0	0	0	0	69.7	22	12.2	2.47	2.28	0.715	69.7	22	12.2	2.47	2.28	0.715	1.58			0											0	0		2.21	0.75																			0										10.4					0	0	0	0	8	0	0	0	0	0	0	4.41	0.627									
LRFD2		L	L8x8x5/8							9.61	8	0		0	0		0		32.7	0	0	0	0	0	59.4	18.6	10.3	2.49	2.23	0.601	59.4	18.6	10.3	2.49	2.23	0.601	1.58			0											0	0		1.3	0.625																			0										6.16					0	0	0	0	8	0	0	0	0	0	0	4.45	0.627									
LRFD2		L	L8x8x9/16							8.68	8	0		0	0		0		29.6	0	0	0	0	0	54.1	16.8	9.34	2.5	2.21	0.543	54.1	16.8	9.34	2.5	2.21	0.543	1.59			0											0	0		0.96	0.5625																			0										4.55					0	0	0	0	8	0	0	0	0	0	0	4.47	0.627									
LRFD2		L	L8x8x1/2							7.75	8	0		0	0		0		26.4	0	0	0	0	0	48.6	15.1	8.36	2.5	2.19	0.484	48.6	15.1	8.36	2.5	2.19	0.484	1.59			0											0	0		0.682	0.5																			0										3.23					0	0	0	0	8	0	0	0	0	0	0	4.48	0.624									
LRFD2		L	L8x6x1							13	8	0		0	0		0		44.2	0	0	0	0	0	80.8	27.3	15.1	2.49	2.65	1.5	38.8	16.2	8.92	1.73	1.65	0.813	1.28			0											0	0		4.35	1																			0										16.3					0	0	0	0	6	0	0	0	0	0	0	3.89	0									
LRFD2		L	L8x6x7/8							11.5	8	0		0	0		0		39.1	0	0	0	0	0	72.3	24.2	13.4	2.51	2.61	1.44	34.9	14.4	7.94	1.74	1.61	0.718	1.28			0											0	0		2.96	0.875																			0										11.3					0	0	0	0	6	0	0	0	0	0	0	3.93	0									
LRFD2		L	L8x6x3/4							9.94	8	0		0	0		0		33.8	0	0	0	0	0	63.4	21.1	11.7	2.53	2.56	1.38	30.7	12.5	6.92	1.76	1.56	0.621	1.29			0											0	0		1.9	0.75																			0										7.28					0	0	0	0	6	0	0	0	0	0	0	3.96	0									
LRFD2		L	L8x6x5/8							8.36	8	0		0	0		0		28.5	0	0	0	0	0	54.1	17.9	9.87	2.54	2.52	1.31	26.3	10.5	5.88	1.77	1.52	0.522	1.29			0											0	0		1.12	0.625																			0										4.33					0	0	0	0	6	0	0	0	0	0	0	3.99	0									
LRFD2		L	L8x6x9/16							7.56	8	0		0	0		0		25.7	0	0	0	0	0	49.3	16.2	8.95	2.55	2.5	1.28	24	9.52	5.34	1.78	1.5	0.472	1.3			0											0	0		0.822	0.5625																			0										3.2					0	0	0	0	6	0	0	0	0	0	0	4.01	0									
LRFD2		L	L8x6x1/2							6.75	8	0		0	0		0		23	0	0	0	0	0	44.3	14.5	8.02	2.56	2.47	1.25	21.7	8.51	4.79	1.79	1.47	0.422	1.3			0											0	0		0.584	0.5																			0										2.28					0	0	0	0	6	0	0	0	0	0	0	4.02	0									
LRFD2		L	L8x6x7/16							5.93	8	0		0	0		0		20.2	0	0	0	0	0	39.2	12.8	7.07	2.57	2.45	1.22	19.3	7.5	4.23	1.8	1.45	0.371	1.31			0											0	0		0.396	0.4375																			0										1.55					0	0	0	0	6	0	0	0	0	0	0	4.04	0									
LRFD2		L	L8x4x1							11	8	0		0	0		0		37.4	0	0	0	0	0	69.6	24.3	14.1	2.52	3.05	2.5	11.6	7.72	3.94	1.03	1.05	0.688	0.846			0											0	0		3.68	1																			0										12.9					0	0	0	0	4	0	0	0	0	0	0	3.77	0									
LRFD2		L	L8x4x7/8							9.73	8	0		0	0		0		33.1	0	0	0	0	0	62.5	21.6	12.5	2.53	3	2.44	10.5	6.77	3.51	1.04	0.999	0.608	0.848			0											0	0		2.48	0.875																			0										8.89					0	0	0	0	4	0	0	0	0	0	0	3.79	0									
LRFD2		L	L8x4x3/4							8.44	8	0		0	0		0		28.7	0	0	0	0	0	54.9	18.9	10.9	2.55	2.95	2.38	9.36	5.81	3.07	1.05	0.953	0.527	0.852			0											0	0		1.61	0.75																			0										5.75					0	0	0	0	4	0	0	0	0	0	0	3.82	0									
LRFD2		L	L8x4x5/8							7.11	8	0		0	0		0		24.2	0	0	0	0	0	46.9	16	9.21	2.57	2.91	2.31	8.1	4.86	2.62	1.07	0.905	0.444	0.857			0											0	0		0.933	0.625																			0										3.42					0	0	0	0	4	0	0	0	0	0	0	3.85	0									
LRFD2		L	L8x4x9/16							6.43	8	0		0	0		0		21.9	0	0	0	0	0	42.8	14.5	8.35	2.58	2.88	2.28	7.43	4.38	2.38	1.07	0.882	0.402	0.861			0											0	0		0.704	0.5625																			0										2.53					0	0	0	0	4	0	0	0	0	0	0	3.86	0									
LRFD2		L	L8x4x1/2							5.75	8	0		0	0		0		19.6	0	0	0	0	0	38.5	13	7.49	2.59	2.86	2.25	6.74	3.9	2.15	1.08	0.859	0.359	0.865			0											0	0		0.501	0.5																			0										1.8					0	0	0	0	4	0	0	0	0	0	0	3.88	0									
LRFD2		L	L8x4x7/16							5.06	8	0		0	0		0		17.2	0	0	0	0	0	34.1	11.5	6.6	2.6	2.83	2.22	6.02	3.42	1.9	1.09	0.835	0.316	0.869			0											0	0		0.328	0.4375																			0										1.22					0	0	0	0	4	0	0	0	0	0	0	3.89	0									
LRFD2		L	L7x4x3/4							7.69	7	0		0	0		0		26.2	0	0	0	0	0	37.8	14.8	8.42	2.22	2.51	1.88	9.05	5.65	3.03	1.09	1.01	0.549	0.86			0											0	0		1.47	0.75																			0										3.97					0	0	0	0	4	0	0	0	0	0	0	3.33	0									
LRFD2		L	L7x4x5/8							6.48	7	0		0	0		0		22.1	0	0	0	0	0	32.4	12.6	7.14	2.24	2.46	1.81	7.84	4.74	2.58	1.1	0.963	0.463	0.865			0											0	0		0.873	0.625																			0										2.37					0	0	0	0	4	0	0	0	0	0	0	3.36	0									
LRFD2		L	L7x4x1/2							5.25	7	0		0	0		0		17.9	0	0	0	0	0	26.7	10.3	5.81	2.25	2.42	1.75	6.53	3.83	2.12	1.11	0.917	0.375	0.872			0											0	0		0.459	0.5																			0										1.25					0	0	0	0	4	0	0	0	0	0	0	3.38	0									
LRFD2		L	L7x4x7/16							4.62	7	0		0	0		0		15.7	0	0	0	0	0	23.7	9.09	5.13	2.26	2.39	1.72	5.83	3.37	1.88	1.12	0.893	0.33	0.875			0											0	0		0.3	0.4375																			0										0.85					0	0	0	0	4	0	0	0	0	0	0	3.4	0									
LRFD2		L	L7x4x3/8							3.98	7	0		0	0		0		13.6	0	0	0	0	0	20.6	7.87	4.44	2.27	2.37	1.69	5.1	2.9	1.63	1.13	0.87	0.285	0.88			0											0	0		0.2	0.375																			0										0.54					0	0	0	0	4	0	0	0	0	0	0	3.42	0									
LRFD2		L	L6x6x1							11	6	0		0	0		0		37.4	0	0	0	0	0	35.5	15.5	8.57	1.8	1.86	0.917	35.5	15.5	8.57	1.8	1.86	0.917	1.17			0											0	0		3.68	1																			0										9.24					0	0	0	0	6	0	0	0	0	0	0	3.19	0.637									
LRFD2		L	L6x6x7/8							9.73	6	0		0	0		0		33.1	0	0	0	0	0	31.9	13.8	7.63	1.81	1.82	0.811	31.9	13.8	7.63	1.81	1.82	0.811	1.17			0											0	0		2.51	0.875																			0										6.41					0	0	0	0	6	0	0	0	0	0	0	3.22	0.632									
LRFD2		L	L6x6x3/4							8.44	6	0		0	0		0		28.7	0	0	0	0	0	28.2	12	6.66	1.83	1.78	0.703	28.2	12	6.66	1.83	1.78	0.703	1.17			0											0	0		1.61	0.75																			0										4.17					0	0	0	0	6	0	0	0	0	0	0	3.26	0.629									
LRFD2		L	L6x6x5/8							7.11	6	0		0	0		0		24.2	0	0	0	0	0	24.2	10.2	5.66	1.84	1.73	0.592	24.2	10.2	5.66	1.84	1.73	0.592	1.18			0											0	0		0.954	0.625																			0										2.5					0	0	0	0	6	0	0	0	0	0	0	3.29	0.628									
LRFD2		L	L6x6x9/16							6.43	6	0		0	0		0		21.9	0	0	0	0	0	22.1	9.26	5.14	1.85	1.71	0.536	22.1	9.26	5.14	1.85	1.71	0.536	1.18			0											0	0		0.704	0.5625																			0										1.85					0	0	0	0	6	0	0	0	0	0	0	3.31	0.627									
LRFD2		L	L6x6x1/2							5.75	6	0		0	0		0		19.6	0	0	0	0	0	19.9	8.31	4.61	1.86	1.68	0.479	19.9	8.31	4.61	1.86	1.68	0.479	1.18			0											0	0		0.501	0.5																			0										1.32					0	0	0	0	6	0	0	0	0	0	0	3.32	0.627									
LRFD2		L	L6x6x7/16							5.06	6	0		0	0		0		17.2	0	0	0	0	0	17.7	7.34	4.08	1.87	1.66	0.422	17.7	7.34	4.08	1.87	1.66	0.422	1.19			0											0	0		0.34	0.4375																			0										0.9					0	0	0	0	6	0	0	0	0	0	0	3.34	0.627									
LRFD2		L	L6x6x3/8							4.36	6	0		0	0		0		14.9	0	0	0	0	0	15.4	6.35	3.53	1.88	1.64	0.363	15.4	6.35	3.53	1.88	1.64	0.363	1.19			0											0	0		0.218	0.375																			0										0.58					0	0	0	0	6	0	0	0	0	0	0	3.36	0.626									
LRFD2		L	L6x6x5/16							3.65	6	0		0	0		0		12.4	0	0	0	0	0	13	5.35	2.97	1.89	1.62	0.304	13	5.35	2.97	1.89	1.62	0.304	1.2			0											0	0		0.129	0.3125																			0										0.34					0	0	0	0	6	0	0	0	0	0	0	3.38	0.625									
LRFD2		L	L6x4x7/8							7.98	6	0		0	0		0		27.2	0	0	0	0	0	27.7	12.7	7.15	1.86	2.12	1.44	9.75	6.31	3.39	1.11	1.12	0.665	0.857			0											0	0		2.07	0.875																			0										4.04					0	0	0	0	4	0	0	0	0	0	0	2.83	0									
LRFD2		L	L6x4x3/4							6.94	6	0		0	0		0		23.6	0	0	0	0	0	24.5	11.2	6.25	1.88	2.08	1.38	8.68	5.47	2.97	1.12	1.08	0.578	0.86			0											0	0		1.33	0.75																			0										2.64					0	0	0	0	4	0	0	0	0	0	0	2.86	0									
LRFD2		L	L6x4x5/8							5.86	6	0		0	0		0		20	0	0	0	0	0	21.1	9.51	5.31	1.9	2.03	1.31	7.52	4.62	2.54	1.13	1.03	0.488	0.864			0											0	0		0.792	0.625																			0										1.59					0	0	0	0	4	0	0	0	0	0	0	2.89	0									
LRFD2		L	L6x4x9/16							5.31	6	0		0	0		0		18.1	0	0	0	0	0	19.3	8.66	4.83	1.9	2.01	1.28	6.91	4.19	2.31	1.14	1.01	0.442	0.866			0											0	0		0.585	0.5625																			0										1.18					0	0	0	0	4	0	0	0	0	0	0	2.9	0									
LRFD2		L	L6x4x1/2							4.75	6	0		0	0		0		16.2	0	0	0	0	0	17.4	7.78	4.33	1.91	1.99	1.25	6.27	3.75	2.08	1.15	0.987	0.396	0.87			0											0	0		0.417	0.5																			0										0.84					0	0	0	0	4	0	0	0	0	0	0	2.92	0									
LRFD2		L	L6x4x7/16							4.18	6	0		0	0		0		14.3	0	0	0	0	0	15.5	6.88	3.83	1.92	1.96	1.22	5.6	3.3	1.85	1.16	0.964	0.349	0.873			0											0	0		0.284	0.4375																			0										0.58					0	0	0	0	4	0	0	0	0	0	0	2.94	0									
LRFD2		L	L6x4x3/8							3.61	6	0		0	0		0		12.3	0	0	0	0	0	13.5	5.97	3.32	1.93	1.94	1.19	4.9	2.85	1.6	1.17	0.941	0.301	0.877			0											0	0		0.183	0.375																			0										0.37					0	0	0	0	4	0	0	0	0	0	0	2.96	0									
LRFD2		L	L6x4x5/16							3.03	6	0		0	0		0		10.3	0	0	0	0	0	11.4	5.03	2.79	1.94	1.92	1.16	4.18	2.4	1.35	1.17	0.918	0.252	0.882			0											0	0		0.108	0.3125																			0										0.22					0	0	0	0	4	0	0	0	0	0	0	2.97	0									
LRFD2		L	L6x3-1/2x1/2							4.5	6	0		0	0		0		15.3	0	0	0	0	0	16.6	7.5	4.24	1.92	2.08	1.5	4.25	2.91	1.59	0.972	0.833	0.375	0.759			0											0	0		0.396	0.5																			0										0.78					0	0	0	0	3.5	0	0	0	0	0	0	2.88	0									
LRFD2		L	L6x3-1/2x3/8							3.42	6	0		0	0		0		11.7	0	0	0	0	0	12.9	5.76	3.24	1.94	2.04	1.44	3.34	2.2	1.23	0.988	0.787	0.285	0.767			0											0	0		0.174	0.375																			0										0.34					0	0	0	0	3.5	0	0	0	0	0	0	2.92	0									
LRFD2		L	L6x3-1/2x5/16							2.87	6	0		0	0		0		9.8	0	0	0	0	0	10.9	4.85	2.73	1.95	2.01	1.41	2.85	1.85	1.04	0.996	0.763	0.239	0.772			0											0	0		0.103	0.3125																			0										0.2					0	0	0	0	3.5	0	0	0	0	0	0	2.93	0									
LRFD2		L	L5x5x7/8							7.98	5	0		0	0		0		27.2	0	0	0	0	0	17.8	9.33	5.17	1.49	1.57	0.798	17.8	9.33	5.17	1.49	1.57	0.798	0.973			0											0	0		2.07	0.875																			0										3.53					0	0	0	0	5	0	0	0	0	0	0	2.65	0.634									
LRFD2		L	L5x5x3/4							6.94	5	0		0	0		0		23.6	0	0	0	0	0	15.7	8.16	4.53	1.51	1.52	0.694	15.7	8.16	4.53	1.51	1.52	0.694	0.975			0											0	0		1.33	0.75																			0										2.32					0	0	0	0	5	0	0	0	0	0	0	2.68	0.634									
LRFD2		L	L5x5x5/8							5.86	5	0		0	0		0		20	0	0	0	0	0	13.6	6.95	3.86	1.52	1.48	0.586	13.6	6.95	3.86	1.52	1.48	0.586	0.978			0											0	0		0.792	0.625																			0										1.4					0	0	0	0	5	0	0	0	0	0	0	2.71	0.63									
LRFD2		L	L5x5x1/2							4.75	5	0		0	0		0		16.2	0	0	0	0	0	11.3	5.68	3.16	1.54	1.43	0.475	11.3	5.68	3.16	1.54	1.43	0.475	0.983			0											0	0		0.417	0.5																			0										0.74					0	0	0	0	5	0	0	0	0	0	0	2.74	0.63									
LRFD2		L	L5x5x7/16							4.18	5	0		0	0		0		14.3	0	0	0	0	0	10	5.03	2.79	1.55	1.41	0.418	10	5.03	2.79	1.55	1.41	0.418	0.986			0											0	0		0.284	0.4375																			0										0.51					0	0	0	0	5	0	0	0	0	0	0	2.77	0.629									
LRFD2		L	L5x5x3/8							3.61	5	0		0	0		0		12.3	0	0	0	0	0	8.74	4.36	2.42	1.56	1.39	0.361	8.74	4.36	2.42	1.56	1.39	0.361	0.99			0											0	0		0.183	0.375																			0										0.33					0	0	0	0	5	0	0	0	0	0	0	2.79	0.627									
LRFD2		L	L5x5x5/16							3.03	5	0		0	0		0		10.3	0	0	0	0	0	7.42	3.68	2.04	1.57	1.37	0.303	7.42	3.68	2.04	1.57	1.37	0.303	0.994			0											0	0		0.108	0.3125																			0										0.19					0	0	0	0	5	0	0	0	0	0	0	2.81	0.626									
LRFD2		L	L5x3-1/2x3/4							5.81	5	0		0	0		0		19.8	0	0	0	0	0	13.9	7.65	4.28	1.55	1.75	1.13	5.55	4.1	2.22	0.977	0.996	0.581	0.748			0											0	0		1.11	0.75																			0										1.52					0	0	0	0	3.5	0	0	0	0	0	0	2.37	0									
LRFD2		L	L5x3-1/2x5/8							4.92	5	0		0	0		0		16.8	0	0	0	0	0	12	6.55	3.65	1.56	1.7	1.06	4.83	3.47	1.9	0.991	0.951	0.492	0.751			0											0	0		0.66	0.625																			0										0.92					0	0	0	0	3.5	0	0	0	0	0	0	2.4	0									
LRFD2		L	L5x3-1/2x1/2							4	5	0		0	0		0		13.6	0	0	0	0	0	9.99	5.38	2.99	1.58	1.66	1	4.05	2.83	1.56	1.01	0.906	0.4	0.755			0											0	0		0.348	0.5																			0										0.49					0	0	0	0	3.5	0	0	0	0	0	0	2.44	0									
LRFD2		L	L5x3-1/2x3/8							3.05	5	0		0	0		0		10.4	0	0	0	0	0	7.78	4.14	2.29	1.6	1.61	0.938	3.18	2.16	1.21	1.02	0.861	0.305	0.762			0											0	0		0.153	0.375																			0										0.22					0	0	0	0	3.5	0	0	0	0	0	0	2.47	0									
LRFD2		L	L5x3-1/2x5/16							2.56	5	0		0	0		0		8.7	0	0	0	0	0	6.6	3.49	1.94	1.61	1.59	0.906	2.72	1.82	1.02	1.03	0.838	0.256	0.766			0											0	0		0.091	0.3125																			0										0.13					0	0	0	0	3.5	0	0	0	0	0	0	2.49	0									
LRFD2		L	L5x3-1/2x1/4							2.06	5	0		0	0		0		7	0	0	0	0	0	5.39	2.83	1.57	1.62	1.56	0.875	2.23	1.47	0.83	1.04	0.814	0.206	0.77			0											0	0		0.048	0.25																			0										0.07					0	0	0	0	3.5	0	0	0	0	0	0	2.5	0									
LRFD2		L	L5x3x1/2							3.75	5	0		0	0		0		12.8	0	0	0	0	0	9.45	5.16	2.91	1.59	1.75	1.25	2.58	2.11	1.15	0.829	0.75	0.375	0.648			0											0	0		0.322	0.5																			0										0.44					0	0	0	0	3	0	0	0	0	0	0	2.39	0									
LRFD2		L	L5x3x7/16							3.31	5	0		0	0		0		11.3	0	0	0	0	0	8.43	4.57	2.58	1.6	1.73	1.22	2.32	1.86	1.02	0.837	0.727	0.331	0.651			0											0	0		0.219	0.4375																			0										0.3					0	0	0	0	3	0	0	0	0	0	0	2.41	0									
LRFD2		L	L5x3x3/8							2.86	5	0		0	0		0		9.8	0	0	0	0	0	7.37	3.97	2.24	1.61	1.7	1.19	2.04	1.6	0.888	0.845	0.704	0.286	0.654			0											0	0		0.141	0.375																			0										0.2					0	0	0	0	3	0	0	0	0	0	0	2.42	0									
LRFD2		L	L5x3x5/16							2.4	5	0		0	0		0		8.2	0	0	0	0	0	6.26	3.36	1.89	1.61	1.68	1.16	1.75	1.35	0.753	0.853	0.681	0.24	0.658			0											0	0		0.083	0.3125																			0										0.12					0	0	0	0	3	0	0	0	0	0	0	2.43	0									
LRFD2		L	L5x3x1/4							1.94	5	0		0	0		0		6.6	0	0	0	0	0	5.11	2.72	1.53	1.62	1.66	1.13	1.44	1.09	0.614	0.861	0.657	0.194	0.663			0											0	0		0.044	0.25																			0										0.06					0	0	0	0	3	0	0	0	0	0	0	2.45	0									
LRFD2		L	L4x4x3/4							5.44	4	0		0	0		0		18.5	0	0	0	0	0	7.67	5.07	2.81	1.19	1.27	0.68	7.67	5.07	2.81	1.19	1.27	0.68	0.778			0											0	0		1.02	0.75																			0										1.12					0	0	0	0	4	0	0	0	0	0	0	2.11	0.639									
LRFD2		L	L4x4x5/8							4.61	4	0		0	0		0		15.7	0	0	0	0	0	6.66	4.33	2.4	1.2	1.23	0.576	6.66	4.33	2.4	1.2	1.23	0.576	0.779			0											0	0		0.61	0.625																			0										0.68					0	0	0	0	4	0	0	0	0	0	0	2.14	0.631									
LRFD2		L	L4x4x1/2							3.75	4	0		0	0		0		12.8	0	0	0	0	0	5.56	3.56	1.97	1.22	1.18	0.469	5.56	3.56	1.97	1.22	1.18	0.469	0.782			0											0	0		0.322	0.5																			0										0.37					0	0	0	0	4	0	0	0	0	0	0	2.17	0.632									
LRFD2		L	L4x4x7/16							3.31	4	0		0	0		0		11.3	0	0	0	0	0	4.97	3.16	1.75	1.23	1.16	0.414	4.97	3.16	1.75	1.23	1.16	0.414	0.785			0											0	0		0.219	0.4375																			0										0.25					0	0	0	0	4	0	0	0	0	0	0	2.19	0.631									
LRFD2		L	L4x4x3/8							2.86	4	0		0	0		0		9.8	0	0	0	0	0	4.36	2.74	1.52	1.23	1.14	0.357	4.36	2.74	1.52	1.23	1.14	0.357	0.788			0											0	0		0.141	0.375																			0										0.16					0	0	0	0	4	0	0	0	0	0	0	2.2	0.625									
LRFD2		L	L4x4x5/16							2.4	4	0		0	0		0		8.2	0	0	0	0	0	3.71	2.32	1.29	1.24	1.12	0.3	3.71	2.32	1.29	1.24	1.12	0.3	0.791			0											0	0		0.083	0.3125																			0										0.1					0	0	0	0	4	0	0	0	0	0	0	2.22	0.623									
LRFD2		L	L4x4x1/4							1.94	4	0		0	0		0		6.6	0	0	0	0	0	3.04	1.88	1.05	1.25	1.09	0.242	3.04	1.88	1.05	1.25	1.09	0.242	0.795			0											0	0		0.044	0.25																			0										0.05					0	0	0	0	4	0	0	0	0	0	0	2.23	0.627									
LRFD2		L	L4x3-1/2x1/2							3.5	4	0		0	0		0		11.9	0	0	0	0	0	5.32	3.5	1.94	1.23	1.25	0.5	3.79	2.73	1.52	1.04	1	0.438	0.722			0											0	0		0.301	0.5																			0										0.3					0	0	0	0	3.5	0	0	0	0	0	0	2.04	0									
LRFD2		L	L4x3-1/2x3/8							2.67	4	0		0	0		0		9.1	0	0	0	0	0	4.18	2.71	1.49	1.25	1.21	0.438	2.95	2.11	1.16	1.06	0.955	0.334	0.727			0											0	0		0.132	0.375																			0										0.13					0	0	0	0	3.5	0	0	0	0	0	0	2.08	0									
LRFD2		L	L4x3-1/2x5/16							2.25	4	0		0	0		0		7.7	0	0	0	0	0	3.56	2.29	1.26	1.26	1.18	0.406	2.55	1.78	0.994	1.07	0.932	0.281	0.73			0											0	0		0.078	0.3125																			0										0.08					0	0	0	0	3.5	0	0	0	0	0	0	2.09	0									
LRFD2		L	L4x3-1/2x1/4							1.81	4	0		0	0		0		6.2	0	0	0	0	0	2.91	1.86	1.03	1.27	1.16	0.375	2.09	1.44	0.808	1.07	0.909	0.227	0.734			0											0	0		0.041	0.25																			0										0.04					0	0	0	0	3.5	0	0	0	0	0	0	2.11	0									
LRFD2		L	L4x3x5/8							3.98	4	0		0	0		0		13.6	0	0	0	0	0	6.03	4.12	2.3	1.23	1.37	0.813	2.87	2.48	1.35	0.849	0.871	0.498	0.637			0											0	0		0.529	0.625																			0										0.47					0	0	0	0	3	0	0	0	0	0	0	1.91	0									
LRFD2		L	L4x3x1/2							3.25	4	0		0	0		0		11.1	0	0	0	0	0	5.05	3.41	1.89	1.25	1.33	0.75	2.42	2.03	1.12	0.864	0.827	0.406	0.639			0											0	0		0.281	0.5																			0										0.26					0	0	0	0	3	0	0	0	0	0	0	1.95	0									
LRFD2		L	L4x3x7/16							2.87	4	0		0	0		0		9.8	0	0	0	0	0	4.52	3.03	1.68	1.25	1.3	0.719	2.18	1.79	0.992	0.871	0.804	0.359	0.641			0											0	0		0.192	0.4375																			0										0.18					0	0	0	0	3	0	0	0	0	0	0	1.96	0									
LRFD2		L	L4x3x3/8							2.48	4	0		0	0		0		8.5	0	0	0	0	0	3.96	2.64	1.46	1.26	1.28	0.688	1.92	1.56	0.866	0.879	0.782	0.311	0.644			0											0	0		0.123	0.375																			0										0.11					0	0	0	0	3	0	0	0	0	0	0	1.98	0									
LRFD2		L	L4x3x5/16							2.09	4	0		0	0		0		7.2	0	0	0	0	0	3.38	2.23	1.23	1.27	1.26	0.656	1.65	1.31	0.734	0.887	0.759	0.261	0.647			0											0	0		0.073	0.3125																			0										0.07					0	0	0	0	3	0	0	0	0	0	0	2	0									
LRFD2		L	L4x3x1/4							1.69	4	0		0	0		0		5.8	0	0	0	0	0	2.77	1.82	1	1.28	1.24	0.625	1.36	1.06	0.599	0.896	0.736	0.211	0.651			0											0	0		0.039	0.25																			0										0.04					0	0	0	0	3	0	0	0	0	0	0	2.01	0									
LRFD2		L	L3-1/2x3-1/2x1/2							3.25	3.5	0		0	0		0		11.1	0	0	0	0	0	3.64	2.68	1.49	1.06	1.06	0.464	3.64	2.68	1.49	1.06	1.06	0.464	0.683			0											0	0		0.281	0.5																			0										0.24					0	0	0	0	3.5	0	0	0	0	0	0	1.89	0.631									
LRFD2		L	L3-1/2x3-1/2x7/16							2.87	3.5	0		0	0		0		9.8	0	0	0	0	0	3.26	2.38	1.32	1.07	1.04	0.41	3.26	2.38	1.32	1.07	1.04	0.41	0.684			0											0	0		0.192	0.4375																			0										0.16					0	0	0	0	3.5	0	0	0	0	0	0	1.91	0.629									
LRFD2		L	L3-1/2x3-1/2x3/8							2.48	3.5	0		0	0		0		8.5	0	0	0	0	0	2.87	2.08	1.15	1.07	1.01	0.355	2.87	2.08	1.15	1.07	1.01	0.355	0.687			0											0	0		0.123	0.375																			0										0.11					0	0	0	0	3.5	0	0	0	0	0	0	1.91	0.628									
LRFD2		L	L3-1/2x3-1/2x5/16							2.09	3.5	0		0	0		0		7.2	0	0	0	0	0	2.45	1.76	0.976	1.08	0.99	0.299	2.45	1.76	0.976	1.08	0.99	0.299	0.69			0											0	0		0.073	0.3125																			0										0.06					0	0	0	0	3.5	0	0	0	0	0	0	1.93	0.627									
LRFD2		L	L3-1/2x3-1/2x1/4							1.69	3.5	0		0	0		0		5.8	0	0	0	0	0	2.01	1.43	0.794	1.09	0.968	0.241	2.01	1.43	0.794	1.09	0.968	0.241	0.694			0											0	0		0.039	0.25																			0										0.03					0	0	0	0	3.5	0	0	0	0	0	0	1.95	0.626									
