Model,span,width,Y,girders,girderspacing,numberofdiaphragms,haunch,numberofgirders,minendmoment,maxendmoment,maxmoment,maxZreaction,minZreaction,maxXreaction,minXreaction,mindeflection,Kg,df,df1,df2,LR1,LR2
TX_30_50_R06,50,30,43,"[33, 118]",7,3,2,5,-5870.685255,109404.5959,3381663.651,13936.59033,-1727.46293,3.74E-08,-3.77E-08,-0.20896682,142819.1041,0.596504757,0.450233831,0.596504757,0.428571429,0.524858636
TX_30_50_R07,50,30,45.62,"[36, 135]",7,3,1.62,5,-11618.79467,127933.5847,3426898.602,13803.10904,-1631.520277,1.76E-09,-2.11E-09,-0.174411414,179983.6227,0.608707054,0.459364619,0.608707054,0.428571429,0.535595317
TX_30_50_R08,50,30,48.25,"[40, 149]",7,3,0.25,5,-11545.38912,128843.5097,3461847.277,13794.67949,-1564.585519,2.39E-08,-2.03E-08,-0.155705759,209042.6387,0.616755254,0.465386961,0.616755254,0.428571429,0.542676848
TX_30_55_P01,55,30,31.25,"[0.75, 12, 1, 12, 0.5, 19.5]",7,4,2,5,-101.7045783,92055.39462,3502693.667,14034.10474,-2577.928656,7.30E-09,-1.30E-08,-0.503263399,95867.64162,0.561910987,0.420869734,0.561910987,0.428571429,0.49441992
TX_30_55_P02,55,30,34.12,"[0.75, 12, 0.875, 12, 0.5, 22.5]",7,4,1.995,5,-11205.73973,116872.6775,3599183.197,13772.80582,-2490.549934,4.50E-09,-4.48E-09,-0.453725778,110488.9159,0.568871814,0.426028689,0.568871814,0.428571429,0.500544683
TX_30_55_P03,55,30,37.25,"[0.75, 14, 1, 14, 0.5, 25.5]",7,4,2,5,-5212.969636,102569.9641,3627322.318,13825.70835,-2306.871925,3.14E-09,-2.41E-09,-0.320681332,168798.17,0.590251356,0.441873946,0.590251356,0.428571429,0.519356331
TX_30_55_P04,55,30,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7,4,2,5,-8278.30464,108674.9998,3720782.432,13773.94187,-2084.330887,2.06E-08,-1.70E-08,-0.229398987,261489.3248,0.613304198,0.458959354,0.613304198,0.428571429,0.539640298
TX_30_55_P05,55,30,43,"[0.75, 12, 0.75, 12, 0.5, 31.5]",7,4,2,5,-6811.709846,104320.2629,3690601.559,13722.68782,-2304.865907,7.88E-09,-2.69E-09,-0.285290201,185579.1877,0.595158018,0.445510475,0.595158018,0.428571429,0.523673654
TX_30_55_P06,55,30,45.62,"[0.75, 12, 0.875, 12, 0.5, 34]",7,4,1.995,5,-15219.15903,124002.5117,3741576.9,13565.1874,-2223.890337,1.73E-09,-3.25E-09,-0.237950427,236480.6125,0.607919884,0.454968818,0.607919884,0.428571429,0.534902693
TX_30_55_P07,55,30,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7,4,2,5,-9973.274027,110231.6528,3754813.43,13637.67711,-2117.211552,3.60E-09,-1.02E-09,-0.195565603,295778.7071,0.619978113,0.463905667,0.619978113,0.428571429,0.54551261
TX_30_55_R01,55,30,31.25,"[21, 111]",7,4,2.25,5,-124.2175171,92723.46885,3513603.543,14083.62355,-2532.630832,1.14E-08,-2.05E-08,-0.487003377,76006.56929,0.550737606,0.412588683,0.550737606,0.428571429,0.484588573
