Model,span,width,Y,girders,girderspacing,numberofdiaphragms,haunch,numberofgirders,minendmoment,maxendmoment,maxmoment,maxZreaction,minZreaction,maxXreaction,minXreaction,mindeflection,Kg,df,df1,df2,LR1,LR2
TX_30_75_R02,75,30,37.62,"[27, 161]",7,4,2.62,5,-131.0689272,92096.97283,4865283.995,13737.60999,-2886.542318,1.71E-08,-7.06E-09,-0.637012382,159006.7543,0.5414474,0.395091294,0.5414474,0.428571429,0.476414212
TX_30_75_R03,75,30,40.75,"[30, 173]",7,4,2.75,5,-3109.766079,96718.64107,4959024.878,13660.10666,-2772.005919,2.48E-08,-1.19E-08,-0.527508651,198891.02,0.552004676,0.402675539,0.552004676,0.428571429,0.485703455
TX_30_75_R04,75,30,43,"[33, 118]",7,4,2,5,-122.2935142,90790.78384,4905127.349,13626.85733,-2975.869498,1.83E-08,-1.16E-08,-0.652778243,142819.1041,0.536466044,0.391512736,0.536466044,0.428571429,0.472031166
TX_30_75_R05,75,30,45.62,"[36, 135]",7,4,1.62,5,-14613.99763,116858.1809,5008943.768,13471.3225,-2842.548336,1.61E-08,-8.32E-09,-0.550478183,179983.6227,0.54726354,0.399269553,0.54726354,0.428571429,0.481531776
TX_30_75_R06,75,30,48.25,"[40, 149]",7,4,0.25,5,-15485.76303,118335.0536,5072755.875,13451.07716,-2784.161743,4.87E-09,-1.28E-08,-0.493474216,209042.6387,0.554385183,0.404385673,0.554385183,0.428571429,0.48779804
TX_30_80_P01,80,30,36.25,"[1.625, 12, 2.125, 12, 0.5, 22.5]",7,5,2,5,-108.0482984,90117.63278,5144245.285,13594.52519,-3081.840445,3.20E-09,-9.30E-09,-0.718131158,242975.3171,0.552279048,0.400657418,0.552279048,0.428571429,0.485944873
TX_30_80_P02,80,30,38.25,"[1, 14, 1.5, 14, 0.5, 25.75]",7,5,2,5,-100.3226113,90676.31572,5174607.261,13518.35673,-3087.537951,7.04E-09,-5.72E-09,-0.697259839,241018.7182,0.551893312,0.400382099,0.551893312,0.428571429,0.485605467
TX_30_80_P03,80,30,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7,5,2,5,-1691.760794,92674.47625,5226662.627,13472.81634,-3045.086581,8.05E-09,-6.25E-09,-0.642188745,261489.3248,0.55579678,0.403168195,0.55579678,0.428571429,0.48904009
TX_30_80_P04,80,30,43.38,"[0.75, 12, 1.125, 12, 0.5, 31.5]",7,5,2.005,5,-1092.467914,91485.5522,5210667.557,13402.85412,-3102.436339,6.28E-09,-4.03E-09,-0.659713241,241245.4176,0.551938149,0.400414101,0.551938149,0.428571429,0.485644918
TX_30_80_P05,80,30,45.88,"[0.75, 12, 1.125, 12, 0.5, 34]",7,5,2.005,5,-3527.354517,94269.72319,5274656.252,13348.02804,-3042.058591,4.88E-09,-2.53E-09,-0.584698493,278700.2091,0.558871323,0.405362647,0.558871323,0.428571429,0.491745349
TX_30_80_P06,80,30,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7,5,2,5,-4663.610765,95530.64885,5305593.467,13319.45658,-3017.605403,5.66E-09,-7.16E-09,-0.551305334,295778.7071,0.561757716,0.407422807,0.561757716,0.428571429,0.494285059
TX_30_80_R01,80,30,36.25,"[24, 229]",7,5,4.25,5,-1740.505473,93955.10795,5188887.235,13603.75856,-2955.221014,1.11E-08,-1.04E-08,-0.613535165,226909.7328,0.54902524,0.398335016,0.54902524,0.428571429,0.483081879
TX_30_80_R02,80,30,38.25,"[27, 194]",7,5,3.25,5,-1239.388407,92748.72913,5202517.109,13562.98554,-3009.946746,2.57E-08,-4.09E-08,-0.638165091,203098.1357,0.543799077,0.394604847,0.543799077,0.428571429,0.47848343
TX_30_80_R03,80,30,40.75,"[30, 173]",7,5,2.75,5,-1639.863846,92837.10754,5225775.73,13513.55428,-3027.725669,2.50E-08,-5.34E-08,-0.630563013,198891.02,0.542818801,0.393905177,0.542818801,0.428571429,0.477620895
TX_30_80_R04,80,30,43.38,"[33, 152]",7,5,2.38,5,-1891.947273,92707.63085,5238390.217,13444.61916,-3054.197098,1.21E-08,-1.23E-08,-0.622055389,190857.5829,0.540893977,0.392531335,0.540893977,0.428571429,0.475927261
TX_30_80_R05,80,30,45.88,"[36, 150]",7,5,1.88,5,-15594.10481,115482.4319,5322766.824,13312.81081,-3010.831248,3.10E-08,-2.19E-08,-0.592173899,204932.8157,0.544220853,0.39490589,0.544220853,0.428571429,0.478854546
TX_30_80_R06,80,30,48.25,"[40, 149]",7,5,0.25,5,-15726.51861,115487.6968,5349821.839,13301.2293,-3020.255552,3.54E-07,-2.89E-07,-0.59069684,209042.6387,0.545153466,0.395571541,0.545153466,0.428571429,0.479675143
TX_30_85_P01,85,30,38.75,"[1.25, 14, 1.75, 14, 0.5, 25.75]",7,5,2,5,-100.8992035,90410.63316,5511593.68,13492.01405,-3122.415656,8.35E-09,-9.79E-09,-0.743762856,280079.4296,0.550350036,0.397221635,0.550350036,0.428571429,0.484247553
TX_30_85_P02,85,30,40.88,"[1, 15, 1.375, 15, 0.5, 28.5]",7,5,2.005,5,-600.7692184,91101.01516,5539648.563,13445.006,-3116.355494,1.03E-08,-7.16E-09,-0.719683742,282021.7933,0.550678669,0.397454773,0.550678669,0.428571429,0.484536714
TX_30_85_P03,85,30,43.75,"[1, 12, 1.25, 12, 0.5, 31.5]",7,5,2,5,-207.7866344,90312.02005,5533571.313,13394.78141,-3149.812141,1.24E-08,-2.59E-09,-0.729590877,264864.5751,0.547702389,0.395343348,0.547702389,0.428571429,0.481917915
TX_30_85_P04,85,30,46.12,"[0.875, 12, 1.25, 12, 0.5, 34]",7,5,1.995,5,-15014.24638,112169.9222,5641589.822,13244.18501,-3070.94176,4.38E-09,-4.00E-09,-0.660607656,302376.4248,0.554005172,0.399814652,0.554005172,0.428571429,0.487463671
TX_30_85_P05,85,30,48.62,"[0.875, 12, 1.25, 12, 0.5, 36.5]",7,5,1.995,5,-16176.49236,113557.5638,5698273.791,13203.83619,-3024.287294,5.37E-09,-5.80E-09,-0.588853951,346010.3578,0.560505685,0.40442623,0.560505685,0.428571429,0.493183409
TX_30_85_R01,85,30,38.75,"[27, 235]",7,5,3.75,5,-2310.374765,94031.92236,5562762.263,13521.28971,-3004.824698,3.93E-08,-2.02E-08,-0.639711469,258284.7665,0.546514756,0.394500821,0.546514756,0.428571429,0.480872929
TX_30_85_R02,85,30,40.88,"[30, 191]",7,5,2.88,5,-1099.254231,91965.04835,5552342.607,13486.69103,-3078.741744,8.41E-08,-5.99E-08,-0.688340926,222232.2955,0.539479046,0.389509565,0.539479046,0.428571429,0.474682277
TX_30_85_R03,85,30,43.75,"[33, 169]",7,5,2.75,5,-1709.307674,92268.11043,5572356.023,13410.56655,-3091.360925,3.77E-08,-3.65E-08,-0.666746654,217744.3062,0.538532394,0.388837993,0.538532394,0.428571429,0.473849327
TX_30_85_R04,85,30,46.12,"[36, 160]",7,5,2.12,5,-2199.359169,92670.89969,5598113.117,13380.89668,-3091.117558,2.51E-08,-7.69E-08,-0.652885764,222334.0577,0.539500311,0.38952465,0.539500311,0.428571429,0.474700988
TX_30_85_R05,85,30,48.62,"[40, 167]",7,5,0.62,5,-15720.54002,113283.0717,5700024.686,13270.21573,-3044.548718,6.19E-09,-4.64E-09,-0.618491427,242178.8265,0.543488599,0.392354012,0.543488599,0.428571429,0.478210243
TX_30_90_P01,90,30,39.12,"[1.5, 14, 2.125, 14, 0.5, 25.5]",7,5,1.995,5,-13668.13526,113124.8458,5901083.728,13350.55831,-3099.930334,4.97E-09,-6.79E-09,-0.78744246,332993.9651,0.55039376,0.395323136,0.55039376,0.428571429,0.484286026
TX_30_90_P02,90,30,41,"[1, 15, 1.5, 15, 0.5, 28.5]",7,5,2,5,-97.08071809,89560.66361,5849515.417,13424.37073,-3178.209463,7.75E-08,-8.69E-08,-0.802344667,302508.8034,0.545851157,0.392118972,0.545851157,0.428571429,0.480289035
TX_30_90_P03,90,30,43.5,"[0.75, 16, 1.25, 16, 0.5, 31.5]",7,5,2,5,-984.7074998,91048.44309,5891433.747,13333.55942,-3160.4582,3.35E-08,-4.27E-08,-0.747493915,321710.7218,0.548757823,0.394169213,0.548757823,0.428571429,0.482846581
TX_30_90_P04,90,30,46.12,"[1.125, 16, 1.5, 16, 0.5, 33.5]",7,5,1.995,5,-16593.35407,115964.0122,6051576.548,13195.72605,-3019.379082,6.73E-09,-4.65E-09,-0.610915066,426079.9582,0.56225797,0.40369166,0.56225797,0.428571429,0.494725227
TX_30_90_P05,90,30,48.62,"[0.875, 16, 1.25, 16, 0.5, 36.5]",7,5,1.995,5,-16982.2298,116103.4453,6066514.825,13163.77776,-3026.96033,1.12E-08,-4.79E-09,-0.596612576,425034.3814,0.562138267,0.403607227,0.562138267,0.428571429,0.494619901
TX_30_90_R01,90,30,39.12,"[27, 258]",7,5,4.12,5,-2031.438249,93449.75828,5886944.7,13491.3034,-3051.261257,3.04E-08,-2.45E-08,-0.688151286,292681.1075,0.544298655,0.391023901,0.544298655,0.428571429,0.478923003
TX_30_90_R02,90,30,41,"[30, 211]",7,5,3,5,-593.2350256,91183.74607,5878087.915,13463.41234,-3123.32384,2.98E-08,-5.34E-08,-0.746518096,248264.3719,0.536637713,0.385620188,0.536637713,0.428571429,0.472182216
TX_30_90_R03,90,30,43.5,"[33, 201]",7,5,2.5,5,-2078.393088,92583.51329,5930246.224,13377.77955,-3108.670142,1.60E-07,-1.66E-07,-0.696102277,257949.8181,0.538407825,0.386868752,0.538407825,0.428571429,0.473739721
TX_30_90_R04,90,30,46.12,"[36, 231]",7,5,2.12,5,-5681.43577,96972.13952,6042221.956,13325.61659,-3006.038756,2.89E-07,-3.57E-07,-0.573307595,326271.1217,0.549425151,0.394639919,0.549425151,0.428571429,0.483433756
TX_30_90_R05,90,30,48.62,"[40, 199]",7,5,0.62,5,-16583.62719,115880.0946,6072679.347,13228.79404,-3048.033575,6.34E-08,-1.15E-07,-0.625109777,290840.4946,0.544002684,0.390815135,0.544002684,0.428571429,0.478662581
TX_30_95_P01,95,30,41.25,"[1, 15, 1.75, 15, 0.5, 28.5]",7,5,2,5,-95.69517801,89177.15164,6181025.133,13391.39857,-3208.986174,5.85E-09,-1.05E-08,-0.853410122,344086.3616,0.544252687,0.389200287,0.544252687,0.428571429,0.478882557
TX_30_95_P02,95,30,44.12,"[1.25, 16, 1.375, 16, 0.5, 31.5]",7,5,1.995,5,-14116.13519,111006.7354,6275369.033,13250.12062,-3145.457164,2.26E-08,-1.40E-08,-0.812618849,359755.5991,0.546347034,0.390669558,0.546347034,0.428571429,0.480725352
TX_30_95_P03,95,30,46.12,"[1.125, 16, 1.5, 16, 0.5, 33.5]",7,5,1.995,5,-15588.37332,112665.6414,6352209.828,13191.89898,-3089.555167,8.59E-09,-7.80E-09,-0.709239871,426079.9582,0.55439018,0.396312159,0.55439018,0.428571429,0.487802436
TX_30_95_P04,95,30,48.62,"[0.875, 16, 1.25, 16, 0.5, 36.5]",7,5,1.995,5,-15970.10968,112835.8971,6369262.537,13160.80334,-3093.819903,4.43E-08,-4.06E-08,-0.692880295,425034.3814,0.55427241,0.396229539,0.55427241,0.428571429,0.487698812
TX_30_95_R01,95,30,41.25,"[30, 235]",7,5,3.25,5,-552.9044519,90995.53601,6212043.926,13437.12451,-3151.152953,2.72E-08,-2.23E-08,-0.789095049,282465.2994,0.535083367,0.382767627,0.535083367,0.428571429,0.470814563
TX_30_95_R02,95,30,44.12,"[33, 221]",7,5,3.12,5,-2075.473282,92419.1921,6262688.902,13346.06351,-3132.573242,2.68E-08,-3.63E-08,-0.73442114,299374.9452,0.537766133,0.384649699,0.537766133,0.428571429,0.473175101
TX_30_95_R03,95,30,46.12,"[36, 231]",7,5,2.12,5,-4000.089699,94597.02774,6340638.931,13310.5884,-3087.721919,7.93E-08,-9.23E-08,-0.667791775,326271.1217,0.541764573,0.387454771,0.541764573,0.428571429,0.47669329
TX_30_95_R04,95,30,48.62,"[40, 199]",7,5,0.62,5,-15547.22887,112483.5183,6371775.715,13221.71203,-3122.681453,7.52E-09,-1.45E-08,-0.72808632,290840.4946,0.536429663,0.38371211,0.536429663,0.428571429,0.471999155
