Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01,10406968.979307348,25.201219512195124,-283256.6203928112,0.4545429751953418,-8179.959145516857,10406968.979307348,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,16556.32405995935,4,35192.489903817026,100,24,0.5040174525993895,279780.1400654561,-2083.41929404622,71.75,1418.7974518427293,18168000.0,499756.58909663034,5,0.5728186360252834,8179.959145481751,29.646602552912938,45.0,7150781.047289411,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,-0.7986323684838023,7.3333,0.4058351729956612,0.5728186360252834,2.0,18168000.0
TX_24_100_P02,10384758.28914515,26.254826254826256,-297081.24878303526,0.4545429751953418,-8173.407266090014,10384758.28914515,30220.38701380221,-2523.969783127793,-8151.79071748516,42102.52309697304,15982.769325128698,4,35497.08026967976,100,24,0.5029417719186567,293607.81510199106,-2105.4818173635726,64.75,1343.618312499278,18168000.0,487618.5674241918,5,0.5715961189533878,8173.407270025276,31.33518105946153,46.5,7166201.272738869,24.526644686549286,"[1.25, 16, 1.75, 16, 0.5, 33.5]",1232.1451792537869,-0.797178480691033,7.3333,0.4049858889945141,0.5715961189533878,2.0,18168000.0
TX_24_100_P03,10334356.83955966,27.328333333333337,-311761.4203345966,0.4545429751953418,-7896.545650797498,10334356.83955966,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,15303.963125000002,4,35502.55864522055,100,24,0.5005007912375472,304515.3007438456,-2093.0462218029215,56.25,1209.3182834382678,18168000.0,461052.8973827399,5,0.5688219308432221,7896.545650632183,34.18734577824834,48.88,7172081.857323879,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,-0.8072844486163071,7.3333,0.40305865735718155,0.5688219308432221,2.0050000000000026,18168000.0
TX_24_100_R01,10495377.227805309,24.340000000000003,-287605.38739135343,0.4545429751953418,-8079.893713737044,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,17700.0,4,35811.18030376889,100,24,0.5082991315671385,271300.5987633301,-2075.074035729443,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,8467.261679494239,30.19646060728457,44.84,7171914.27345551,23.951725555193057,"[33, 291]",1325.5514114558287,-0.7387800335851815,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R02,10454239.133990798,24.85,-303761.934070546,0.4545429751953418,-8344.613469660015,10454239.133990798,31685.018103413757,-2793.1490403223384,-8979.160848562839,44366.29013823585,17900.0,4,35924.97490477371,100,24,0.506306782277887,300343.7113980231,-2087.6217624028136,77.0,1388.226470690838,18168000.0,526499.1867094361,5,0.5754204719281593,8344.613472421877,31.95897144660941,46.85,7188679.056628908,25.556166339137704,"[36, 262]",1239.8189025280403,-0.7538798229234913,7.3333,0.4076426713584419,0.5754204719281593,2.8500000000000014,18168000.0
TX_24_100_R03,10317751.984597543,24.979999999999997,-324669.2215986514,0.4545429751953418,-7735.745248850916,10317751.984597543,28657.935209657422,-2475.975406780171,-7437.720445510803,38687.37869627458,16700.0,4,35653.597824654076,100,24,0.4996966054351845,295504.1518001579,-2086.831223266244,63.4,1144.6481459697752,18168000.0,452590.4867561431,5,0.5679079692094641,8431.620508619573,33.79848980884658,48.98,7204014.001801008,27.425597794234548,"[40, 215]",1044.933839716775,-0.8597625743519164,7.3333,0.40242372717006397,0.5679079692094641,0.9799999999999969,18168000.0
TX_24_105_P01,11035030.83124854,26.728277591973242,-286211.57503758336,0.4545429751953418,-7887.682990357678,11035030.83124854,34653.276835943456,-2643.554439877359,-7681.094556874473,48528.308468326424,19260.505138656634,4,35223.43213513761,105,24,0.5044479681394445,283529.99796966446,-2079.6058814339067,74.75,1575.230784508438,19248000.000000004,584521.237149993,6,0.573307919329205,7887.6829900794255,30.80711026319234,47.12,7618445.62393993,24.016407903991905,"[1.5, 16, 2.125, 16, 0.5, 33.5]",1442.9000779164621,-0.8156914669746986,7.3333,0.40448471248757245,0.573307919329205,1.9949999999999974,19248000.000000004
TX_24_105_P02,10941825.913183752,27.897088353413654,-290220.68449941516,0.4545429751953418,-7408.427183542687,10941825.913183752,33311.12994203071,-2590.550481974854,-8262.289670996543,46231.93307992246,17456.01650351406,4,35629.4176710385,105,24,0.5001872612816761,287071.6620707509,-2126.6456560829165,62.25,1373.72361795242,19248000.000000004,530140.8282582037,6,0.5684656023058889,7408.427184066989,33.65446475240243,49.25,7555138.703424311,26.391292874309617,"[1.125, 16, 1.625, 16, 0.5, 36.5]",1262.20151853406,-0.8389955280985637,7.3333,0.40113717550723266,0.5684656023058889,2.0,19248000.000000004
TX_24_105_R01,11104193.574965822,25.33,-297157.0726889577,0.4545429751953418,-7614.888340956404,11104193.574965822,36096.237616726125,-2987.490050395953,-8933.03990427023,51004.36383533626,21100.0,4,35915.917525011595,105,24,0.507609627229724,274457.7323427103,-2098.1811105845773,88.8,1614.5542410815128,19248000.000000004,628064.7481377979,6,0.5769011624566615,8161.120083798045,31.590368745475452,47.33,7578429.756227788,25.217537127214182,"[36, 302]",1431.3942489558942,-0.7628535002306438,7.3333,0.4069687535345742,0.5769011624566615,3.3299999999999983,19248000.000000004
TX_24_105_R02,10954915.581014898,25.380000000000003,-323430.9881681156,0.4545429751953418,-7364.042380294476,10954915.581014898,32686.496181282208,-2641.692196779407,-7478.295716252316,44611.97796947251,19600.0,4,35736.16750947876,105,24,0.5007856335419822,281914.5729698296,-2098.8723804347096,73.3,1334.3108024356145,19248000.000000004,537492.2648502095,6,0.5691456557052627,8380.27396025119,33.434472604163155,49.38,7598247.356193879,27.026682540406625,"[40, 249]",1209.4157739268887,-0.8671485021856565,7.3333,0.40160730249232013,0.5691456557052627,1.3800000000000026,19248000.000000004
