Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01,10406968.979307348,25.201219512195124,-274.49655769540504,0.4545429751953418,-9.745235729496926e-09,10406968.979307348,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,16556.32405995935,4,33234.98738106923,100,24,0.5040174525993895,502.63069516019897,-2493.415826225596,71.75,1418.7974518427293,18168000.0,499756.58909663034,5,0.5728186360252834,1.5846213662342734e-08,29.646602552912938,45.0,7146731.339237739,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,-0.7943835596733374,7.3333,0.4058351729956612,0.5728186360252834,2.0,18168000.0
TX_24_100_P02,10384758.28914515,26.254826254826256,-226.5264239573402,0.4545429751953418,-2.600446578071569e-07,10384758.28914515,30220.38701380221,-2523.969783127793,-8151.79071748516,42102.52309697304,15982.769325128698,4,33522.26920852737,100,24,0.5029417719186567,406.66571097411145,-2449.9881762647115,64.75,1343.618312499278,18168000.0,487618.5674241918,5,0.5715961189533878,9.89341515378328e-08,31.33518105946153,46.5,7184587.858495958,24.526644686549286,"[1.25, 16, 1.75, 16, 0.5, 33.5]",1232.1451792537869,-0.7717921728090932,7.3333,0.4049858889945141,0.5715961189533878,2.0,18168000.0
TX_24_100_P03,10334356.83955966,27.328333333333337,-271.57804384989396,0.4545429751953418,-3.2040953942068066e-09,10334356.83955966,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,15303.963125000002,4,33184.01006528751,100,24,0.5005007912375472,488.25390512145543,-2507.788584561229,56.25,1209.3182834382678,18168000.0,461052.8973827399,5,0.5688219308432221,1.0010353435063735e-08,34.18734577824834,48.88,7165963.067323066,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,-0.803394010145352,7.3333,0.40305865735718155,0.5688219308432221,2.0050000000000026,18168000.0
TX_24_100_R01,10495377.227805309,24.340000000000003,-267.1287506495405,0.4545429751953418,-2.4491669137205463e-08,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,17700.0,4,33671.765644308,100,24,0.5082991315671385,460.9675957768013,-2392.1639823640585,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,2.5625979560572887e-08,30.19646060728457,44.84,7188141.373647985,23.951725555193057,"[33, 291]",1325.5514114558287,-0.7205919743146277,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R02,10454239.133990798,24.85,-246.86568260433765,0.4545429751953418,-2.0837251213379204e-06,10454239.133990798,31685.018103413757,-2793.1490403223384,-8979.160848562839,44366.29013823585,17900.0,4,33638.917395530574,100,24,0.506306782277887,434.56752917813725,-2413.4130395699603,77.0,1388.226470690838,18168000.0,526499.1867094361,5,0.5754204719281593,1.92055813386105e-06,31.95897144660941,46.85,7204351.316534879,25.556166339137704,"[36, 262]",1239.8189025280403,-0.7352426014265027,7.3333,0.4076426713584419,0.5754204719281593,2.8500000000000014,18168000.0
TX_24_100_R03,10317751.984597543,24.979999999999997,-240.7265164920364,0.4545429751953418,-4.831235855817795e-08,10317751.984597543,28657.935209657422,-2475.975406780171,-7437.720445510803,38687.37869627458,16700.0,4,33290.98691876193,100,24,0.4996966054351845,457.158947370027,-2475.3381225327985,63.4,1144.6481459697752,18168000.0,452590.4867561431,5,0.5679079692094641,8.825327313388698e-08,33.79848980884658,48.98,7224399.702290316,27.425597794234548,"[40, 215]",1044.933839716775,-0.8306053377752959,7.3333,0.40242372717006397,0.5679079692094641,0.9799999999999969,18168000.0
TX_24_105_P01,11035030.83124854,26.728277591973242,-266.6933223061916,0.4545429751953418,-6.667960406048223e-09,11035030.83124854,34653.276835943456,-2643.554439877359,-7681.094556874473,48528.308468326424,19260.505138656634,4,32780.07740578793,105,24,0.5044479681394445,500.30026025604155,-2591.0388667622256,74.75,1575.230784508438,19248000.000000004,584521.237149993,6,0.573307919329205,1.12144161261159e-08,30.80711026319234,47.12,7608992.650112935,24.016407903991905,"[1.5, 16, 2.125, 16, 0.5, 33.5]",1442.9000779164621,-0.8114122518784925,7.3333,0.40448471248757245,0.573307919329205,1.9949999999999974,19248000.000000004
TX_24_105_P02,10941825.913183752,27.897088353413654,-271.45325137852774,0.4545429751953418,-1.542753125249874e-08,10941825.913183752,33311.12994203071,-2590.550481974854,-8262.289670996543,46231.93307992246,17456.01650351406,4,33116.45994817321,105,24,0.5001872612816761,500.0534604953801,-2621.970987199965,62.25,1373.72361795242,19248000.000000004,530140.8282582037,6,0.5684656023058889,1.8128048395738006e-08,33.65446475240243,49.25,7544512.683324849,26.391292874309617,"[1.125, 16, 1.625, 16, 0.5, 36.5]",1262.20151853406,-0.834452755605093,7.3333,0.40113717550723266,0.5684656023058889,2.0,19248000.000000004
TX_24_105_R01,11104193.574965822,25.33,-255.24784977823975,0.4545429751953418,-1.4168324469210347e-07,11104193.574965822,36096.237616726125,-2987.490050395953,-8933.03990427023,51004.36383533626,21100.0,4,33597.89983840705,105,24,0.507609627229724,442.3388955558478,-2515.7670698628235,88.8,1614.5542410815128,19248000.000000004,628064.7481377979,6,0.5769011624566615,3.474923460089485e-07,31.590368745475452,47.33,7588288.026067444,25.217537127214182,"[36, 302]",1431.3942489558942,-0.7441534096846041,7.3333,0.4069687535345742,0.5769011624566615,3.3299999999999983,19248000.000000004
TX_24_105_R02,10954915.581014898,25.380000000000003,-231.9524856028062,0.4545429751953418,-3.1140530154516455e-08,10954915.581014898,32686.496181282208,-2641.692196779407,-7478.295716252316,44611.97796947251,19600.0,4,33269.273112812676,105,24,0.5007856335419822,433.4507039718653,-2572.59937410942,73.3,1334.3108024356145,19248000.000000004,537492.2648502095,6,0.5691456557052627,6.445968356849823e-08,33.434472604163155,49.38,7610389.2448259685,27.026682540406625,"[40, 249]",1209.4157739268887,-0.8400702890839581,7.3333,0.40160730249232013,0.5691456557052627,1.3800000000000026,19248000.000000004
TX_24_110_P01,11540679.042653155,28.3979304029304,-266.5971859801465,0.4545429751953418,-4.434696165844798e-09,11540679.042653155,36533.098649261054,-2654.037758628691,-7913.032071192002,51022.58501506268,19632.497538919415,4,32808.14518967342,110,24,0.4995341081782061,505.0965087520436,-2629.736661630028,68.25,1537.8864728168894,20328000.0,600692.2976287256,6,0.5677232901738073,1.2969280760444235e-08,33.17708160967598,49.62,7975909.436182088,25.8598986820228,"[1.25, 16, 1.875, 16, 0.5, 36.5]",1412.7317008654027,-0.881834288641287,7.3333,0.3990381975308799,0.5677232901738073,1.9949999999999974,20328000.0
TX_24_110_R01,11553347.540742205,25.689999999999998,-235.5608918095787,0.4545429751953418,-5.964352567389142e-07,11553347.540742205,35868.89010151552,-2774.3646480440666,-7552.152942975006,49297.16988989183,21900.0,4,33333.27814852385,110,24,0.500082459524906,437.664194452599,-2590.0890449847984,81.4,1486.088374901802,20328000.0,608333.3400831951,6,0.5683464945268696,9.437862900085747e-07,33.17243491198786,49.69,7980262.660977879,26.771313741399076,"[40, 277]",1339.82554789786,-0.8763322382254712,7.3333,0.3994670185035623,0.5683464945268696,1.6899999999999977,20328000.0
