Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01,10406968.979307348,25.201219512195124,-592566.5804055043,0.4545429751953418,-15705.429047963255,10406968.979307348,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,16556.32405995935,4,34243.31860001964,100,24,0.5040174525993895,537387.9534571383,-1995.2225636937787,71.75,1418.7974518427293,18168000.0,499756.58909663034,5,0.5728186360252834,17105.035977128267,29.646602552912938,45.0,7147498.867108994,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,-0.7942889505081414,7.3333,0.4058351729956612,0.5728186360252834,2.0,18168000.0
TX_24_100_P02,10384758.28914515,26.254826254826256,-596825.3117871562,0.4545429751953418,-15053.502651334835,10384758.28914515,30220.38701380221,-2523.969783127793,-8151.79071748516,42102.52309697304,15982.769325128698,4,34286.37566787894,100,24,0.5029417719186567,540946.2566099225,-1992.6387964966334,64.75,1343.618312499278,18168000.0,487618.5674241918,5,0.5715961189533878,16413.975046658652,31.33518105946153,46.5,7161714.965674314,24.526644686549286,"[1.25, 16, 1.75, 16, 0.5, 33.5]",1232.1451792537869,-0.7929083129732565,7.3333,0.4049858889945141,0.5715961189533878,2.0,18168000.0
TX_24_100_P03,10334356.83955966,27.328333333333337,-606052.9952146215,0.4545429751953418,-14076.19885906946,10334356.83955966,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,15303.963125000002,4,34371.932457679985,100,24,0.5005007912375472,542987.506620602,-1993.835987392255,56.25,1209.3182834382678,18168000.0,461052.8973827399,5,0.5688219308432221,15346.352948637197,34.18734577824834,48.88,7166878.597010216,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,-0.8033131393345188,7.3333,0.40305865735718155,0.5688219308432221,2.0050000000000026,18168000.0
TX_24_100_R01,10495377.227805309,24.340000000000003,-734185.7822248377,0.4545429751953418,-18908.50750800857,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,17700.0,4,35072.79777428241,100,24,0.5082991315671385,635349.6863264412,-1974.5740670481382,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,21573.26372378394,30.19646060728457,44.84,7190162.407559745,23.951725555193057,"[33, 291]",1325.5514114558287,-0.7204495752883339,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R02,10454239.133990798,24.85,-747182.6411606868,0.4545429751953418,-18056.95717652354,10454239.133990798,31685.018103413757,-2793.1490403223384,-8979.160848562839,44366.29013823585,17900.0,4,35105.9419657141,100,24,0.506306782277887,650256.2413414808,-1978.1979771399358,77.0,1388.226470690838,18168000.0,526499.1867094361,5,0.5754204719281593,20513.762928809643,31.95897144660941,46.85,7206442.207446656,25.556166339137704,"[36, 262]",1239.8189025280403,-0.7351110058148401,7.3333,0.4076426713584419,0.5754204719281593,2.8500000000000014,18168000.0
TX_24_100_R03,10317751.984597543,24.979999999999997,-715524.1357215495,0.4545429751953418,-16799.282187544308,10317751.984597543,28657.935209657422,-2475.975406780171,-7437.720445510803,38687.37869627458,16700.0,4,35008.40680734253,100,24,0.4996966054351845,642016.5770451556,-2009.5696978246494,63.4,1144.6481459697752,18168000.0,452590.4867561431,5,0.5679079692094641,18555.037314976846,33.79848980884658,48.98,7226753.846469318,27.425597794234548,"[40, 215]",1044.933839716775,-0.8305006757711694,7.3333,0.40242372717006397,0.5679079692094641,0.9799999999999969,18168000.0
TX_24_105_P01,11035030.83124854,26.728277591973242,-556919.3016698885,0.4545429751953418,-14248.61082923629,11035030.83124854,34653.276835943456,-2643.554439877359,-7681.094556874473,48528.308468326424,19260.505138656634,4,33796.0531198538,105,24,0.5044479681394445,512414.66476312035,-2113.832206431283,74.75,1575.230784508438,19248000.000000004,584521.237149993,6,0.573307919329205,15341.551002585578,30.80711026319234,47.12,7609647.781543362,24.016407903991905,"[1.5, 16, 2.125, 16, 0.5, 33.5]",1442.9000779164621,-0.8113559899878275,7.3333,0.40448471248757245,0.573307919329205,1.9949999999999974,19248000.000000004
TX_24_105_P02,10941825.913183752,27.897088353413654,-568688.6104050673,0.4545429751953418,-13336.626909872055,10941825.913183752,33311.12994203071,-2590.550481974854,-8262.289670996543,46231.93307992246,17456.01650351406,4,34235.902389857714,105,24,0.5001872612816761,516944.9123866325,-2064.754508383183,62.25,1373.72361795242,19248000.000000004,530140.8282582037,6,0.5684656023058889,14512.634019495696,33.65446475240243,49.25,7545156.74446825,26.391292874309617,"[1.125, 16, 1.625, 16, 0.5, 36.5]",1262.20151853406,-0.8343911738367042,7.3333,0.40113717550723266,0.5684656023058889,2.0,19248000.000000004
TX_24_105_R01,11104193.574965822,25.33,-726939.0807632253,0.4545429751953418,-17514.991631874353,11104193.574965822,36096.237616726125,-2987.490050395953,-8933.03990427023,51004.36383533626,21100.0,4,34998.22637329151,105,24,0.507609627229724,631664.0529444363,-2005.6217631330405,88.8,1614.5542410815128,19248000.000000004,628064.7481377979,6,0.5769011624566615,19931.040912299923,31.590368745475452,47.33,7590028.6112414915,25.217537127214182,"[36, 302]",1431.3942489558942,-0.7440493348029049,7.3333,0.4069687535345742,0.5769011624566615,3.3299999999999983,19248000.000000004
TX_24_105_R02,10954915.581014898,25.380000000000003,-698840.6180132476,0.4545429751953418,-16358.133002306187,10954915.581014898,32686.496181282208,-2641.692196779407,-7478.295716252316,44611.97796947251,19600.0,4,34933.94856099014,105,24,0.5007856335419822,626526.2053236353,-2030.8224296875096,73.3,1334.3108024356145,19248000.000000004,537492.2648502095,6,0.5691456557052627,18083.788575464154,33.434472604163155,49.38,7612369.500351602,27.026682540406625,"[40, 249]",1209.4157739268887,-0.8399896475637627,7.3333,0.40160730249232013,0.5691456557052627,1.3800000000000026,19248000.000000004
